istat;name;cadastral;province;province_abbr;region;nuts3
001001;Agliè;A074;Torino;TO;Piemonte;ITC11
001002;Airasca;A109;Torino;TO;Piemonte;ITC11
001003;Ala di Stura;A117;Torino;TO;Piemonte;ITC11
001004;Albiano d'Ivrea;A157;Torino;TO;Piemonte;ITC11
001006;Almese;A218;Torino;TO;Piemonte;ITC11
001007;Alpette;A221;Torino;TO;Piemonte;ITC11
001008;Alpignano;A222;Torino;TO;Piemonte;ITC11
001009;Andezeno;A275;Torino;TO;Piemonte;ITC11
001010;Andrate;A282;Torino;TO;Piemonte;ITC11
001011;Angrogna;A295;Torino;TO;Piemonte;ITC11
001012;Arignano;A405;Torino;TO;Piemonte;ITC11
001013;Avigliana;A518;Torino;TO;Piemonte;ITC11
001014;Azeglio;A525;Torino;TO;Piemonte;ITC11
001015;Bairo;A584;Torino;TO;Piemonte;ITC11
001016;Balangero;A587;Torino;TO;Piemonte;ITC11
001017;Baldissero Canavese;A590;Torino;TO;Piemonte;ITC11
001018;Baldissero Torinese;A591;Torino;TO;Piemonte;ITC11
001019;Balme;A599;Torino;TO;Piemonte;ITC11
001020;Banchette;A607;Torino;TO;Piemonte;ITC11
001021;Barbania;A625;Torino;TO;Piemonte;ITC11
001022;Bardonecchia;A651;Torino;TO;Piemonte;ITC11
001023;Barone Canavese;A673;Torino;TO;Piemonte;ITC11
001024;Beinasco;A734;Torino;TO;Piemonte;ITC11
001025;Bibiana;A853;Torino;TO;Piemonte;ITC11
001026;Bobbio Pellice;A910;Torino;TO;Piemonte;ITC11
001027;Bollengo;A941;Torino;TO;Piemonte;ITC11
001028;Borgaro Torinese;A990;Torino;TO;Piemonte;ITC11
001029;Borgiallo;B003;Torino;TO;Piemonte;ITC11
001030;Borgofranco d'Ivrea;B015;Torino;TO;Piemonte;ITC11
001031;Borgomasino;B021;Torino;TO;Piemonte;ITC11
001032;Borgone Susa;B024;Torino;TO;Piemonte;ITC11
001033;Bosconero;B075;Torino;TO;Piemonte;ITC11
001034;Brandizzo;B121;Torino;TO;Piemonte;ITC11
001035;Bricherasio;B171;Torino;TO;Piemonte;ITC11
001036;Brosso;B205;Torino;TO;Piemonte;ITC11
001037;Brozolo;B209;Torino;TO;Piemonte;ITC11
